name,place,number,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total,total1,total2,total3,total4,total5,gap0,gap1,gap2,gap3,gap4,gap5,ll,ml
Jason English,1st,3061,5,0:16:23.5,0:16:48.1,0:16:23.5,0:17:18.8,0:17:03.4,0:16:48.1,0:16:26.8,0:16:23.5,1:24:00.8,0 days 00:17:18.800000,0 days 00:34:22.200000,0 days 00:51:10.300000,0 days 01:07:37.100000,0 days 01:24:00.600000,0.0,0.0019290123456790122,0.0009221957967286317,0.0,0.0,0.0,2022-06-19 00:16:23.500,2022-06-19 00:16:23.500
Jay Gibson,2nd,3224,5,0:17:03.5,0:17:30.1,0:17:50.5,0:17:16.8,0:17:03.5,0:17:35.7,0:17:43.8,0:17:50.5,1:27:30.5,0 days 00:17:16.800000,0 days 00:34:20.300000,0 days 00:51:56,0 days 01:09:39.800000,0 days 01:27:30.300000,0.0,0.0,0.0,0.014884538970133213,0.03024327721771709,0.041602190215450544,2022-06-19 00:17:50.500,2022-06-19 00:17:03.500
Camryn Moores,3rd,195,5,0:17:43.2,0:18:00.6,0:17:43.2,0:18:09.6,0:18:00.4,0:18:06.5,0:18:03.2,0:17:43.2,1:30:03.1,0 days 00:18:09.600000,0 days 00:36:10,0 days 00:54:16.500000,0 days 01:12:19.700000,0 days 01:30:02.900000,0.0,0.05092592592592592,0.05324467310585837,0.06064553952382503,0.06965566537674693,0.07187636392492958,2022-06-19 00:17:43.200,2022-06-19 00:17:43.200
Rodney Rae,4th,2086,5,0:17:56.7,0:18:08.4,0:18:28.2,0:18:08.0,0:17:56.7,0:18:09.5,0:17:59.5,0:18:28.2,1:30:42.1,0 days 00:18:08,0 days 00:36:04.700000,0 days 00:54:14.200000,0 days 01:12:13.700000,0 days 01:30:41.900000,0.0,0.04938271604938271,0.05067223219919429,0.05989642705924503,0.06817677651524488,0.07961353807086458,2022-06-19 00:18:28.200,2022-06-19 00:17:56.700
Matt La-Borg,5th,169,5,0:18:17.5,0:18:28.8,0:18:30.8,0:18:46.0,0:18:25.2,0:18:24.6,0:18:17.5,0:18:30.8,1:32:24.2,0 days 00:18:46,0 days 00:37:11.200000,0 days 00:55:35.800000,0 days 01:13:53.300000,0 days 01:32:24.100000,0.0,0.08603395061728394,0.08294908508469641,0.0864736344982575,0.09272633161617905,0.0998889021148276,2022-06-19 00:18:30.800,2022-06-19 00:18:17.500
James Schneider,6th,3321,5,0:18:15.3,0:18:28.9,0:18:30.5,0:18:47.0,0:18:25.5,0:18:26.0,0:18:15.3,0:18:30.5,1:32:24.5,0 days 00:18:47,0 days 00:37:12.500000,0 days 00:55:38.500000,0 days 01:13:53.800000,0 days 01:32:24.300000,0.0,0.08699845679012345,0.0835800611561423,0.08735302739146011,0.09284957235463755,0.0999285799309606,2022-06-19 00:18:30.500,2022-06-19 00:18:15.300
Zaid Mohsen,8th,3314,4,0:19:31.2,0:20:30.9,0:21:38.3,0:20:12.7,0:19:31.2,0:20:41.4,0:21:38.3, ,1:22:03.8,0 days 00:20:12.700000,0 days 00:39:43.900000,0 days 01:00:25.300000,0 days 01:22:03.600000,,0.0,0.16965663580246915,0.15706450516915013,0.18076409471387161,0.21357619974858888,,2022-06-19 00:21:38.300,2022-06-19 00:19:31.200
Jorge Baron Morris,1st,3339,4,0:17:54.4,0:18:11.3,0:18:14.5,0:18:32.0,0:18:04.1,0:17:54.4,0:18:14.5, ,1:12:45.3,0 days 00:18:32,0 days 00:36:36.100000,0 days 00:54:30.500000,0 days 01:12:45,,0.0,0.07253086419753087,0.06591273115565695,0.06520535452561639,0.07589164674274729,,2022-06-19 00:18:14.500,2022-06-19 00:17:54.400
Kristof Van Hemeldonck,2nd,276,4,0:18:14.3,0:18:38.8,0:18:58.2,0:18:31.2,0:18:14.3,0:18:51.4,0:18:58.2, ,1:14:35.2,0 days 00:18:31.200000,0 days 00:36:45.500000,0 days 00:55:36.900000,0 days 01:14:35.100000,,0.0,0.07175925925925926,0.07047517351841964,0.08683190567696968,0.10302925735131005,,2022-06-19 00:18:58.200,2022-06-19 00:18:14.300
Rob Cornish,3rd,3340,4,0:18:50.7,0:19:02.4,0:19:16.5,0:18:53.0,0:18:50.7,0:19:09.4,0:19:16.5, ,1:16:09.8,0 days 00:18:53,0 days 00:37:43.700000,0 days 00:56:53.100000,0 days 01:16:09.600000,,0.0,0.09278549382716049,0.09872348687084405,0.11165032732957691,0.12632175691996747,,2022-06-19 00:19:16.500,2022-06-19 00:18:50.700
Archie Gibson,4th,182,4,0:18:41.9,0:19:05.5,0:19:00.3,0:18:41.9,0:19:00.2,0:19:39.6,0:19:00.3, ,1:16:22.2,0 days 00:18:41.900000,0 days 00:37:42.100000,0 days 00:57:21.700000,0 days 01:16:22,,0.0,0.08207947530864197,0.09794690093675679,0.12096537797609354,0.12937812723373837,,2022-06-19 00:19:00.300,2022-06-19 00:18:41.900
Anthony Rohr,5th,286,4,0:19:06.4,0:19:14.6,0:19:09.1,0:19:12.5,0:19:06.4,0:19:30.2,0:19:09.1, ,1:16:58.4,0 days 00:19:12.500000,0 days 00:38:18.900000,0 days 00:57:49.100000,0 days 01:16:58.200000,,0.0,0.11159336419753087,0.11580837742076397,0.12988958733674233,0.13830075669813413,,2022-06-19 00:19:09.100,2022-06-19 00:19:06.400
Peter Morrison,6th,3204,4,0:19:10.2,0:19:27.0,0:19:50.3,0:19:10.2,0:19:10.8,0:19:36.6,0:19:50.3, ,1:17:48.2,0 days 00:19:10.200000,0 days 00:38:21,0 days 00:57:57.600000,0 days 01:17:47.900000,,0.0,0.109375,0.1168276464592535,0.1326580464449728,0.15055088610090953,,2022-06-19 00:19:50.300,2022-06-19 00:19:10.200
Dustin Rooks,7th,3343,4,0:19:10.4,0:19:33.7,0:20:02.0,0:19:11.8,0:19:10.4,0:19:50.5,0:20:02.0, ,1:18:14.8,0 days 00:19:11.800000,0 days 00:38:22.200000,0 days 00:58:12.700000,0 days 01:18:14.700000,,0.0,0.11091820987654322,0.11741008590981895,0.13757613262547633,0.15715658968228538,,2022-06-19 00:20:02.000,2022-06-19 00:19:10.400
Landon Arthur,8th,3320,4,0:19:18.5,0:19:43.1,0:20:08.0,0:19:18.5,0:19:29.3,0:19:56.7,0:20:08.0, ,1:18:52.7,0 days 00:19:18.500000,0 days 00:38:47.800000,0 days 00:58:44.500000,0 days 01:18:52.500000,,0.0,0.1173804012345679,0.12983546085521527,0.14793342670097384,0.16647358950974833,,2022-06-19 00:20:08.000,2022-06-19 00:19:18.500
Martin Wisata,9th,139,4,0:19:01.0,0:19:48.4,0:21:20.7,0:19:01.0,0:19:23.6,0:19:28.3,0:21:20.7, ,1:19:13.8,0 days 00:19:01,0 days 00:38:24.600000,0 days 00:57:52.900000,0 days 01:19:13.600000,,0.0,0.10050154320987655,0.11857496481094987,0.13112725140865714,0.17167434867269724,,2022-06-19 00:21:20.700,2022-06-19 00:19:01.000
