lace,number,name,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total
1st,2096,Zac Dillon,3,0:21:19.7,0:21:34.6,0:21:21.6,0:22:02.4,0:21:19.7,0:21:21.6, , ,1:04:43.9
2nd,281,Terence Stockil,3,0:21:31.8,0:21:40.2,0:21:31.8,0:21:43.2,0:21:45.6,0:21:31.8, , ,1:05:00.7
3rd,3697,Richard Woods,3,0:21:37.0,0:22:07.4,0:22:50.6,0:21:37.0,0:21:54.7,0:22:50.6, , ,1:06:22.4
4th,210,Sam Mackenzie,3,0:22:16.2,0:22:47.7,0:22:39.1,0:22:16.2,0:23:27.9,0:22:39.1, , ,1:08:23.3
5th,3341,Denis Fung,3,0:23:05.8,0:23:15.2,0:23:18.8,0:23:05.8,0:23:21.0,0:23:18.8, , ,1:09:45.6
6th,562,Ben Bohringer,3,0:24:01.6,0:24:27.5,0:25:01.9,0:24:01.6,0:24:19.1,0:25:01.9, , ,1:13:22.7
7th,3356,Owen Lane,3,0:24:19.9,0:24:39.9,0:24:37.3,0:24:19.9,0:25:02.7,0:24:37.3, , ,1:13:59.9
8th,196,Garry Jeffries,3,0:25:03.0,0:25:25.4,0:25:19.5,0:25:03.0,0:25:53.8,0:25:19.5, , ,1:16:16.4
9th,2000,Luke McShane-Cale,3,0:25:14.7,0:25:46.8,0:25:29.4,0:26:36.3,0:25:14.7,0:25:29.4, , ,1:17:20.6
10th,322,Phil Dunne,3,0:25:41.9,0:26:28.2,0:27:30.8,0:25:41.9,0:26:12.0,0:27:30.8, , ,1:19:24.8
11th,3353,Nathan Johns,3,0:25:48.8,0:26:40.0,0:26:50.3,0:25:48.8,0:27:20.8,0:26:50.3, , ,1:20:00.0
12th,313,Shane Bowen,3,0:26:36.3,0:27:34.2,0:28:15.5,0:26:36.3,0:27:50.9,0:28:15.5, , ,1:22:42.8
13th,326,Gordon Lewins,3,0:29:15.0,0:29:42.0,0:30:17.1,0:29:15.0,0:29:34.1,0:30:17.1, , ,1:29:06.2
14th,330,Bruce Gow,3,0:31:13.2,0:31:36.2,0:31:39.8,0:31:55.7,0:31:13.2,0:31:39.8, , ,1:34:48.8
15th,388,Jason Steele,2,0:29:14.0,0:29:53.4,0:30:32.7,0:29:14.0,0:30:32.7, , , ,0:59:46.8
16th,455,Simone Steele,2,0:31:26.2,0:31:36.0,0:31:26.2,0:31:45.7,0:31:26.2, , , ,1:03:12.0
17th,566,Mathew Verschelden,2,0:28:01.5,0:32:03.5,0:36:05.4,0:28:01.5,0:36:05.4, , , ,1:04:07.0
18th,412,David Phelan,1,0:29:40.0,0:29:40.0,0:29:40.0,0:29:40.0, , , , ,0:29:40
