cat,position,name,lap1,lap2,lap3,lap4,lap5,avglap,minlap,total
A, 1,PETER MILOSTIC,16:54,16:54,15:47,15:39,15:42, ,,01:20:57
A, 2,BRETT JOHNSTONE,17:38,17:38,15:57,15:56,16:01, ,,01:23:09
A, 3,LINDON MILOSTIC,17:40,17:40,16:17,16:18,15:57, ,,01:23:52
A, 4,PAT HOWARD,19:23,16:08,16:17,16:10,16:38, ,,01:24:37
A, 5,STEPHEN TOMCZYK,19:20,16:04,16:49,17:03,16:14, ,,01:25:29
A, 6,IAN ANDERSON,17:41,17:41,16:48,17:18,16:49, ,,01:26:16
A, 7,SCOTT CAMPBELL,19:35,16:29,16:41,16:53,16:48, ,,01:26:25
A, 8,SIMON EBBELING,19:36,17:28,17:33,17:37,17:23, ,,01:29:36
A, 9,ALEX SHAPLEY,20:37,18:16,18:12,18:25,18:49, ,,01:34:18
A, 10,ADAM SHAPLEY,21:06,18:47,18:46,18:35,18:32, ,,01:35:45
WA, 1,CAITLYN BRAZIER,21:11,18:24,18:57,18:45,, ,,01:17:16
WA, 2,KATE SHAPLEY,23:55,21:33,22:10,21:57,, ,,01:29:34
WA, 3,LANA MOY,24:11,22:26,21:47,22:02,, ,,01:30:24
B, 1,MARK GREENAWAY,19:37,16:27,17:13,16:25,, ,,01:09:41
B, 2,CHRISTOPHER CHEW,19:19,16:44,17:18,16:43,, ,,01:10:04
B, 3,MATTHEW ROBERTS,20:15,18:07,18:53,18:28,, ,,01:15:42
B, 4,MARK O'CONNOR,20:20,22:00,18:08,17:59,, ,,01:18:26
B, 5,DENIS FUNG,21:38,20:24,20:03,20:00,, ,,01:22:05
WB, 1,SIENNA TOH,23:18,20:58,21:02,,, ,,01:05:18
WB, 2,FIONA DEISEL,24:39,22:13,22:28,,, ,,01:09:20
WB, 3,FIONA HAYES-WHELAN-WICK,25:12,22:26,22:42,,, ,,01:10:19
WB, 4,LIZY TIMM,26:58,24:59,26:12,,, ,,01:18:09
C, 1,BENJAMIN KNUTSEN,19:52,17:00,16:34,,, ,,00:53:26
C, 2,GIUSEPPE SPINELLI,19:52,17:01,17:00,,, ,,00:53:52
C, 3,ANTHONY DEISEL,19:51,17:13,17:02,,, ,,00:54:05
C, 4,GRANT SOLOMON,19:56,17:13,16:57,,, ,,00:54:06
C, 5,OLIVER RUTHERFORD,19:57,17:45,18:19,,, ,,00:56:01
C, 6,MARK GREEN,20:56,17:52,18:05,,, ,,00:56:53
C, 7,LUKE TUBB,21:28,18:49,19:01,,, ,,00:59:17
C, 8,ROB TWYEROULD,21:43,19:17,19:44,,, ,,01:00:43
C, 9,JAMES SIRMAIS,21:57,19:36,19:44,,, ,,01:01:16
C, 10,LEWIS DANIELS,22:39,19:26,19:29,,, ,,01:01:34
C, 11,MATHEW CORBETT,22:14,20:09,20:10,,, ,,01:02:32
C, 12,BEN GO,22:25,20:18,20:07,,, ,,01:02:50
C, 13,EVAN CRATCHLEY,22:10,20:46,20:47,,, ,,01:03:42
C, 14,KEVIN NICHOLS,23:46,21:01,19:52,,, ,,01:04:39
C, 15,HUNTER DE-GROOT,23:16,20:53,20:48,,, ,,01:04:56
C, 16,RICHARD LAVIER,23:21,21:16,20:48,,, ,,01:05:24
C, 17,STEVE RUSSELL,24:20,22:20,23:49,,, ,,01:10:28
C, 18,MICHAEL KONSTANTINOFF,24:56,24:09,27:12,,, ,,01:16:16
WC, 1,KYLIE GREEN,25:54,22:48,,,, ,,00:48:41
WC, 2,SARRAH SHAPLEY,28:36,25:33,,,, ,,00:54:08
WC, 3,RENEE FLEMING,28:35,28:25,,,, ,,00:56:59
WC, 4,TYLA BARTON,30:28,29:05,,,, ,,00:59:32
WC, 5,NATASHA MATTS,30:36,30:56,,,, ,,01:01:32
D, 1,SAM SAAD,21:52,19:18,,,, ,,41:09
D, 2,CHARLIE GREEN,21:57,19:29,,,, ,,41:26
D, 3,BEN COLLINS,22:18,19:09,,,, ,,41:27
D, 4,BRENDAN CUSACK,22:17,19:54,,,, ,,42:11
D, 5,BENJAMIN EBBELING,22:10,22:34,,,, ,,44:43
D, 6,BALAZS TOTH,23:40,21:45,,,, ,,45:25
D, 7,JASON FLEMING,23:16,22:41,,,, ,,45:57
D, 8,CHRIS RAYNER,24:51,22:19,,,, ,,47:09
D, 9,KAELAN AZZOPARDI,26:31,24:49,,,, ,,51:19
D, 10,HARRISEN WALDEN,26:30,24:55,,,, ,,51:25
