gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R101,2021,R1,18-Mar-2021,M.C.G.,7:25 PM,49218,Richmond,105,Carlton,80,0.0
2021R102,2021,R1,19-Mar-2021,M.C.G.,7:50 PM,46051,Collingwood,53,Western Bulldogs,69,0.0
2021R103,2021,R1,20-Mar-2021,M.C.G.,1:45 PM,21365,Melbourne,80,Fremantle,58,0.0
2021R104,2021,R1,20-Mar-2021,Adelaide Oval,4:05 PM,26985,Adelaide,103,Geelong,91,0.0
2021R105,2021,R1,20-Mar-2021,Docklands,7:25 PM,25128,Essendon,91,Hawthorn,92,0.0
2021R106,2021,R1,20-Mar-2021,Gabba,6:45 PM,22762,Brisbane Lions,94,Sydney,125,20.8
2021R107,2021,R1,21-Mar-2021,Docklands,1:10 PM,13050,North Melbourne,65,Port Adelaide,117,3.2
2021R108,2021,R1,21-Mar-2021,Sydney Showground,3:20 PM,5014,Greater Western Sydney,78,St Kilda,86,114.4
2021R109,2021,R1,21-Mar-2021,Perth Stadium,3:10 PM,38493,West Coast,83,Gold Coast,58,0.0
2021R201,2021,R2,25-Mar-2021,M.C.G.,7:20 PM,51723,Carlton,85,Collingwood,106,3.8
2021R202,2021,R2,26-Mar-2021,Kardinia Park,7:50 PM,20070,Geelong,81,Brisbane Lions,80,0.4
2021R203,2021,R2,27-Mar-2021,S.C.G.,1:45 PM,23946,Sydney,121,Adelaide,88,0.0
2021R204,2021,R2,27-Mar-2021,Adelaide Oval,4:05 PM,29978,Port Adelaide,119,Essendon,65,3.8
2021R205,2021,R2,27-Mar-2021,Docklands,7:25 PM,25903,St Kilda,73,Melbourne,91,4.2
2021R206,2021,R2,27-Mar-2021,Carrara,7:10 PM,6661,Gold Coast,98,North Melbourne,39,0.0
2021R207,2021,R2,28-Mar-2021,M.C.G.,1:10 PM,41051,Hawthorn,49,Richmond,78,0.1
