"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Race Pace","Bike","","2","","2022-02-03","","30538.740234375","","","","","1.85166668891907","4.58099985122681","","","","150","180","","","0.784848593144251","128.32","9","6","17","11","27","31","10","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-02-03","","10454.900390625","","","","","0.900833308696747","3.22399997711182","","","","130","179","","","0.647438698432001","41.72","7","6","25","12","2","2","0","","","","","","","","","","","","","","",""
"low and slow","Bike","","4","","2022-02-05","","91723.1875","","","","","4.01111125946045","6.35200023651123","","","","134","187","","","0.643185824380483","190.32","9","24","129","52","19","4","5","","","","","","","","","","","","","","2","3"
"Full Pyramid","Bike","","0.716666666666667","","2022-02-08","","9727.099609375","","","","","0.79277777671814","3.40799999237061","","","","135","181","","","0.718644575799739","45.09","7","7","15","6","3","3","7","","","","","","","","","","","","","","9","1"
"Race Pace","Bike","","2","","2022-02-10","","27693.3203125","","","","","2.00638890266418","3.83400011062622","","","","143","177","","","0.759056731047353","130.31","20","7","13","14","26","32","8","","","","","","","","","","","","","","8","7"
"Cycling","Bike","","","","2022-02-10","","11877.4404296875","","","","","0.990000009536743","3.33299994468689","","","","136","180","","","0.697182559778872","53.29","6","9","18","9","11","4","2","","","","","","","","","","","","","","",""
"low and slow","Bike","","4","","2022-02-13","","104562.421875","","","","","4.42861127853394","6.55900001525879","","","","132","174","","","0.639547216637689","208.27","23","41","108","64","25","5","0","","","","","","","","","","","","","","6","5"
"Large Pyramid","Bike","","0.85","","2022-02-15","","11394.400390625","","","","","0.990833342075348","3.19400000572205","","","","128","176","","","0.688539471605835","52.02","15","13","12","5","5","5","4","","","","","","","","","","","","","","10","3"
"Cycling","Bike","","","","2022-02-16","","10340.7099609375","","","","","0.862777769565582","3.3289999961853","","","","100","133","","","0.578652865150226","31.88","37","10","5","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-02-16","","10206.8095703125","","","","","0.938055574893951","3.0220000743866","","","","107","144","","","0.586076772723328","35.64","29","15","11","1","0","0","0","","","","","","","","","","","","","","",""
"Race Pace","Bike","","2","","2022-02-17","","10393.8095703125","","","","","0.964722216129303","2.99300003051758","","","","111","143","","","0.594338127077325","37.72","26","15","15","2","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-02-17","","19359.9296875","","","","","1.50083339214325","3.58299994468689","","","","126","174","","","0.667067192949841","74.74","29","16","18","4","14","9","0","","","","","","","","","","","","","","",""
