Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.98746013641357,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.0178394317627,..,..,..,..,..,..,..,..,..,22.6007804870605
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8995018005371,46.4724502563477,46.8800888061523,47.6213188171387,47.6002082824707,48.1196594238281,48.6890983581543,49.5695381164551,50.1319808959961,50.9164505004883,52.000560760498,52.3450508117676,53.199161529541,54.137939453125,54.987621307373,54.4439811706543,55.1360015869141,56.4275016784668,55.0191802978516,53.0803413391113,54.1406898498535,54.7104606628418,55.4534492492676,56.1631317138672,58.8045082092285,60.5798988342285,61.731258392334,62.3198699951172,63.1081390380859,64.2117080688477,64.4595336914063,65.0282135009766,66.3536224365234,66.8427581787109,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.6566696166992,28.9525604248047,29.7958297729492,30.6703796386719,31.4570903778076,32.3526000976563,34.3389015197754,34.1919288635254,35.1367416381836,36.0617790222168,36.4939498901367,37.519458770752,38.6052894592285,39.881950378418,40.8100090026855,35.8349113464355,37.0996284484863,37.9957885742188,38.8046989440918,40.1053886413574,40.3649482727051,49.2909393310547,39.8815383911133,39.9072189331055,40.474681854248,41.2656097412109,42.0727310180664,42.8101806640625,43.4555892944336,44.6832084655762,45.6052589416504,46.3761596679688,47.4074211120605,50.963939666748,51.4354286193848,51.6396102905273,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.2522735595703,..,..,..,..,..,..,94.6818084716797,..,..,95.6914825439453,96.1360702514648,..,..,..,..,..,97.7611236572266,..,..,98.1999969482422
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.8399200439453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.075080871582,..,..,..,63.9187889099121,..,67.5487518310547,..,..,..,..,..,..,..,..,..,75.3229675292969,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.2199096679688,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.1944885253906,..,..,..,..,..,..,..,..,..,..,..,..,53.4072113037109,..,..,..,..,..,..,62.4000015258789
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4199981689453,..,..,..,..,..,..,..,..,..,99.4199981689453,..,..,..,99.4199981689453,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.335620880127,30.7993507385254,31.3404808044434,31.9458694458008,32.5951614379883,33.4044914245605,33.8584594726563,34.8480911254883,35.7265014648438,36.6858291625977,37.5367889404297,38.5994110107422,39.6374893188477,40.7424697875977,41.9388389587402,43.1266098022461,43.4190902709961,44.5688095092773,45.6531410217285,47.4569816589355,48.366039276123,49.7607688903809,51.0706596374512,52.5659484863281,53.6228294372559,55.0267295837402,57.3563194274902,58.6421699523926,58.5361099243164,58.4111213684082,58.8275299072266,60.171199798584,58.6872901916504,59.965690612793,62.1620483398438,65.9744186401367,65.0896377563477,66.8572692871094,65.4785995483398,67.2776184082031,68.580451965332,65.467399597168,65.8019485473633,66.3212966918945,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.5808868408203,..,..,..,..,..,..,..,..,..,..,95.9169998168945,..,..,..,..,..,..,..,..,..,97.1934127807617,..,..,..,..,98.5107727050781,..,..,99.0017623901367,98.9280700683594,98.9998397827148,99.0999526977539,99.0912094116211,98.9328231811523,99.2087707519531,99.1430969238281,..,99.0620422363281,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.1501388549805,..,..,..,..,..,..,..,..,..,..,..,99.1610717773438,..,..,..,..,..,..,..,..,..,99.6903533935547,..,..,..,..,99.6903533935547,99.6771621704102,..,..,99.7445068359375,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.0713577270508,..,..,..,..,..,..,..,..,..,96.7197799682617,..,..,..,..,..,..,..,97.8126831054688,..,98,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
